brand,model,type,base_year,base_price,depreciation_per_km,notes
Sunlight,T 68,AUTOCARAVANA,2020,44000,0.10,
Sunlight,A 70,AUTOCARAVANA,2021,62000,0.14,Integrada
Pilote,G740 LJ Sensation,AUTOCARAVANA,2020,60000,0.14,
Pilote,Pacific P716,AUTOCARAVANA,2021,72000,0.17,Integrada francesa
Rapido,676,AUTOCARAVANA,2020,57000,0.13,
Rapido,896F,AUTOCARAVANA,2021,80000,0.20,
Hobby,Optima De Luxe T 65 GH,AUTOCARAVANA,2020,60000,0.14,
Hobby,Siesta T 65 HQ,AUTOCARAVANA,2021,52000,0.12,
Hobby,Premium T 65 GH,AUTOCARAVANA,2022,70000,0.16,
LMC,Innova 650 G,AUTOCARAVANA,2020,47000,0.11,
LMC,Explorer T 630 G,AUTOCARAVANA,2021,57000,0.13,
Carthago,Chic C-Line I 50,AUTOCARAVANA,2020,118000,0.30,Integrada lujo
Carthago,C-Tourer I 138,AUTOCARAVANA,2021,90000,0.22,
Bürstner,Lyseo TD 744,AUTOCARAVANA,2020,74000,0.18,
Bürstner,Ixeo Time IT 706,AUTOCARAVANA,2021,64000,0.15,
Bürstner,Minimax T 680,AUTOCARAVANA,2021,56000,0.13,
Trigano,Tribute 640,AUTOCARAVANA,2020,40000,0.09,Entry-level francesa
Trigano,Vision 554,AUTOCARAVANA,2021,48000,0.11,
Niesmann+Bischoff,Flair i 930 LE,AUTOCARAVANA,2021,128000,0.32,Integrada top de gama
Laika,Ecovip L 3109,AUTOCARAVANA,2021,68000,0.16,Italiana muy popular en España
Itineo,MB 700,AUTOCARAVANA,2020,57000,0.13,
